Course name,Degree type,Interest,Institution,Language,Delivery,Location,Duration,Cost - $CAD,Link (for detail page),Target
Strategic Agility,Certificate,Strategy,Schulich,English,Online,Online,5 Days,"$4,950",https://execed.schulich.yorku.ca/program/certificate-in-strategic-agility/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE#program-overview,Executive
Strategic Innovation and Creative Leadership,Certificate,Strategy,Schulich,English,Online,Online,5 Days,"$4,950",https://execed.schulich.yorku.ca/program/certificate-in-strategic-innovation-and-creative-leadership/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE#program-overview,Executive
Strategic Messaging & Business Communications,Certificate,Strategy,Schulich,English,Online,Online,2 weeks,"$3,950",https://execed.schulich.yorku.ca/program/certificate-in-strategic-messaging-and-business-communications/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE,Executive
Executive Leadership,Certificate,Strategy,Schulich,English,Online,Online,1 month,"$2,450",https://execed.schulich.yorku.ca/program/executive-leadership/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE#program-overvieww,Executive
Analytics and AI for Leaders,Certificate,Technology,Schulich,English,Online,Online,3 months,"$11,850",https://execed.schulich.yorku.ca/program/masters-certificate-in-analytics-and-ai-for-leaders/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE,Executive
Enterprise Risk Management and Governance,Certificate,Finance and Accounting,Schulich,English,Online,Online,6 months,"$9,950",https://execed.schulich.yorku.ca/program/masters-certificate-in-enterprise-risk-management-and-governance/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE#program-overview,Executive
Healthcare Management,Certificate,Healthcare,Schulich,English,Online,Online,6 months,"$9,950",https://execed.schulich.yorku.ca/program/masters-certificate-in-healthcare-management/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE#faculty-profiles,Executive
Venture Finance,Certificate,Finance and Accounting,Schulich,English,Online,Online,6 weeks,"$3,999",https://execed.schulich.yorku.ca/program/schulich-masterclass-certificate-in-venture-finance/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE,Executive
Schulich Executive Presence,Certificate,Strategy,Schulich,English,Online,Online,2 days,N/A,https://execed.schulich.yorku.ca/program/schulich-executive-presence/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE,Executive
Strategic Account Management and Client Development,Certificate,Strategy,Schulich,English,Online,Online,2 days,"$2,150",https://execed.schulich.yorku.ca/program/strategic-account-management-and-client-development/?utm_medium=cpc&utm_source=google&utm_campaign=ga_dg_ww_schulich_brand&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNZ92a7ONTy7UNX0hoqpVEf4c0fAziyLx_Sea8qxozKuBWytC_bQhWRoCUZoQAvD_BwE,Executive
Data-Informed Leadership,Certificate,Technology,Ivey,English,Online,Online,4 weeks,"$5,390",https://www.ivey.uwo.ca/academy/individuals/individual-programs/data-informed-leadership/,Executive
Sustainability and Digital Innovation,Certificate,Technology,Ivey,English,Online,Online,2 weeks,$790,https://www.ivey.uwo.ca/academy/individuals/individual-programs/data-informed-leadership/,Executive
Customer Dynamics in the Digital World,Certificate,Marketing,Ivey,English,Online,Online,2 weeks,"$1,190",https://www.ivey.uwo.ca/academy/individuals/individual-programs/customer-dynamics-in-the-digital-world/,Executive
Strategic Thinking and Decision-Making,Certificate,Strategy,Ivey,English,Online,Online,3 weeks,"$3,990",https://www.ivey.uwo.ca/academy/individuals/individual-programs/strategic-thinking-and-decision-making/,Executive
Accounting,Bachelors,Finance and Accounting,Yorkville ,English,Online,Online, 2.5 years,"$5,916",https://www.yorkvilleu.ca/programs/bachelor-of-business-administration-online/accounting/?_gl=1*1g80roq*_ga*NTA3Mjg2ODkwLjE3MDk0OTU5MjU.*_ga_GW15M562QS*MTcwOTQ5NTkyNS4xLjEuMTcwOTQ5NjA4MC42MC4wLjA.,Mid-career
Energy Management,Bachelors,Finance and Accounting,Yorkville ,English,Online,Online, 2.5 years,"$5,916",https://www.yorkvilleu.ca/programs/bachelor-of-business-administration-online/energy-management/?_gl=1*itjtkj*_ga*NTA3Mjg2ODkwLjE3MDk0OTU5MjU.*_ga_GW15M562QS*MTcwOTQ5NTkyNS4xLjEuMTcwOTQ5NzE1Ny42MC4wLjA.,Mid-career
Education in Adult Education,Masters,Education,Yorkville ,English,Online,Online,2 years,"$8,200",https://www.yorkvilleu.ca/programs/med-in-adult-education/?_gl=1*1jdinp4*_ga*NTA3Mjg2ODkwLjE3MDk0OTU5MjU.*_ga_GW15M562QS*MTcwOTQ5NTkyNS4xLjEuMTcwOTQ5NzE2Ny41MC4wLjA.,Mid-career
Educational Leadership,Masters,Education,Yorkville ,English,Online,Online,3 years,"$8,200",https://www.yorkvilleu.ca/programs/med-in-educational-leadership/leadership-in-learning/,Mid-career
Markketing landscape,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,"$1,199",https://online.cornell.edu/courses/marketing/understanding-the-digital-marketing-landscape-and-the-customer-funnel/,Executive
Assessing opportunities in paid social media,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,N/A,https://online.cornell.edu/courses/marketing/assessing-opportunities-in-paid-digital-media/,Executive
Assessing opportunities in owned social media,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,N/A,https://online.cornell.edu/courses/marketing/assessing-opportunities-in-owned-digital-media/,Executive
Social Media Strategy,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,$999,https://online.cornell.edu/courses/marketing/social-media-strategy/,Executive
Digital Advertising With Analytics,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,N/A,https://online.cornell.edu/courses/marketing/optimizing-digital-advertising-with-analytics/,Associate
Data privacy in marketing,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,"$1,199",https://online.cornell.edu/courses/marketing/data-privacy-in-marketing/,Associate
Exploring data sets with R,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,$999,https://docs.google.com/spreadsheets/d/1JlV_nAs7nyFlMDzxaauAfK2bRJZTf3V6QqIZ5zAomjE/edit#gid=0,Associate
Growth marketing with AI ,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,"$1,199",https://online.cornell.edu/courses/marketing/growth-marketing-with-ai/,Associate
Writing concise copy,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,"$1,199",https://online.cornell.edu/courses/marketing/writing-concise-copy/,Mid-career
Brand Purpose,Certificate,Marketing,Ecornell,English,Online,Online,2 weeks,$999,https://online.cornell.edu/courses/marketing/brand-purpose/,Executive
Hospitality Management 360,Certificate,Travel and Hospitality,Ecornell,English,Online,Online,9 Months,"$10,399",https://online.cornell.edu/certificates/hospitality-and-foodservice-management/hospitality-management-360/,Mid-career
Leading a culture of service excellence,Certificate,Travel and Hospitality,Ecornell,English,Online,Online,3 months,"$4,809",https://online.cornell.edu/certificates/hospitality-and-foodservice-management/leading-a-culture-of-service-excellence/,Mid-career
Hospitality Accounting,Certificate,Travel and Hospitality,Ecornell,English,Online,Online,2.5 months,"$4,875",https://online.cornell.edu/certificates/hospitality-and-foodservice-management/hospitality-accounting/,Mid-career
Strategic Hospitality Marketing,Certificate,Travel and Hospitality,Ecornell,English,Online,Online,3 months,"$4,809",https://online.cornell.edu/certificates/hospitality-and-foodservice-management/strategic-hospitality-marketing/,Mid-career
Hospitality Leadership,Certificate,Travel and Hospitality,University of Guelph,English,Hybrid,Guelph,12 Weeks,"$5,499",https://www.uoguelph.ca/hftm/hospitality-leadership-certificate,Mid-career
Travel Studies,Certificate,Travel and Hospitality,Fanshawe College,English,Online,Online,28 Weeks,"$3,237",https://www.fanshawec.ca/programs/tts1-tourism-travel-studies/next#program-details,Associate
